12:13:38.839 -> timestamp,temp,humidity,soil,light
12:13:43.599 -> 3,2.40,5.10,647,606
12:13:46.604 -> 6,2.30,5.20,560,616
12:13:49.637 -> 9,2.30,5.20,562,619
12:13:52.601 -> 12,2.40,5.10,562,622
12:13:55.656 -> 15,2.40,5.20,565,626
12:13:58.646 -> 18,2.30,5.10,576,639
12:14:01.629 -> 21,2.30,5.10,610,680
12:14:04.627 -> 24,2.30,5.20,634,705
12:14:07.651 -> 27,2.30,5.10,632,707
12:14:10.672 -> 30,2.30,5.20,629,702
12:14:13.662 -> 33,2.30,5.20,638,711
12:14:16.655 -> 36,2.30,5.20,637,712
12:14:19.668 -> 39,2.30,5.20,638,713
12:14:22.692 -> 42,2.30,5.20,635,707
12:14:25.671 -> 45,2.30,5.20,635,711
12:14:28.672 -> 48,2.30,5.30,634,707
12:14:31.680 -> 51,2.30,5.20,634,709
12:14:34.728 -> 54,2.30,5.30,630,706
12:14:37.735 -> 57,2.30,5.20,631,704
12:14:40.701 -> 60,2.30,5.30,633,709
12:14:43.719 -> 63,2.30,5.30,620,695
12:14:46.721 -> 66,2.30,5.30,631,693
12:14:49.733 -> 69,2.30,5.30,623,656
12:14:52.770 -> 72,2.30,5.20,625,657
12:14:55.737 -> 75,2.30,5.20,625,659
12:14:58.736 -> 78,2.30,5.20,614,643
12:15:01.780 -> 81,2.30,5.20,615,647
12:15:04.770 -> 84,2.30,5.30,620,652
12:15:07.759 -> 87,2.30,5.20,623,654
12:15:10.777 -> 90,2.30,5.20,623,657
12:15:13.798 -> 93,2.30,5.20,627,664
12:15:16.788 -> 96,2.30,5.20,626,666
12:15:19.782 -> 99,2.30,5.20,629,667
12:15:22.806 -> 102,2.30,5.20,627,664
12:15:25.801 -> 105,2.30,5.20,629,667
12:15:28.813 -> 108,2.30,5.20,636,675
12:15:31.807 -> 111,2.30,5.20,628,667
12:15:34.817 -> 114,2.30,5.20,634,679
12:15:37.828 -> 117,2.30,5.30,632,680
12:15:40.822 -> 120,2.30,5.30,630,678
12:15:43.844 -> 123,2.30,5.30,634,683
12:15:46.836 -> 126,2.30,5.20,635,712
12:15:49.842 -> 129,2.30,5.20,635,714
12:15:52.850 -> 132,2.30,5.20,635,714
12:15:55.881 -> 135,2.20,5.20,637,713
12:15:58.884 -> 138,2.30,5.20,633,712
12:16:01.866 -> 141,2.30,5.20,629,709
12:16:04.872 -> 144,2.30,5.30,498,519
12:16:07.898 -> 147,2.30,5.30,495,515
12:16:10.890 -> 150,2.30,5.20,494,511
12:16:13.901 -> 153,2.30,5.20,471,486
12:16:16.920 -> 156,2.30,5.40,493,509
12:16:19.910 -> 159,2.30,5.30,475,486
12:16:22.933 -> 162,2.30,5.20,448,458
12:16:25.918 -> 165,2.30,5.20,443,451
12:16:28.966 -> 168,2.20,5.20,427,436
12:16:31.928 -> 171,2.20,5.20,460,520
12:16:34.947 -> 174,2.30,5.20,388,394
12:16:37.986 -> 177,2.20,5.20,373,378
12:16:40.988 -> 180,2.20,5.20,394,400
12:16:43.965 -> 183,2.20,5.20,379,382
12:16:47.001 -> 186,2.20,5.20,398,404
12:16:49.985 -> 189,2.20,5.30,382,386
12:16:53.013 -> 192,2.20,5.30,391,397
12:16:56.020 -> 195,2.20,5.30,410,416
12:16:58.990 -> 198,2.20,5.20,409,415
12:17:01.997 -> 201,2.20,5.30,410,416
12:17:05.010 -> 204,2.20,5.30,407,413
12:17:08.024 -> 207,2.20,5.30,417,423
12:17:11.009 -> 210,2.20,5.30,331,325
