millis,temp,humidity,distance_cm,soil_raw
2000,33.9,80.5,18.8,562
4000,33.9,80.5,20.7,577
6000,33.9,80.5,33.2,607
8000,33.9,80.5,56.1,530
10000,33.9,80.5,18.9,580
12000,33.9,80.5,20.6,518
14000,33.9,80.5,33.1,525
16000,33.9,80.5,55.9,508
18000,33.9,80.5,18.8,631
20000,33.9,80.5,20.7,596
22000,33.9,80.5,33.2,562
24000,33.9,80.5,56.0,577
26000,33.9,80.5,18.8,607
28000,33.9,80.5,20.6,530
30000,33.9,80.5,33.1,580
32000,33.9,80.5,55.8,518
34000,33.9,80.5,18.9,525
36000,33.9,80.5,20.7,508
38000,33.9,80.5,33.2,631
40000,33.9,80.5,56.0,596
42000,33.9,80.5,18.8,562
44000,33.9,80.5,20.6,577
46000,33.9,80.5,33.1,607
48000,33.9,80.5,55.9,530
50000,33.9,80.5,18.8,580
52000,33.9,80.5,20.7,518
54000,33.9,80.5,33.2,525
56000,33.9,80.5,56.1,508
58000,33.9,80.5,18.9,631
60000,33.9,80.5,20.6,596
